Which of the following best describes you?,Others Specify_Which of the following best describes you?,responsible research Practices_q1,na_responsible research Practices_q1,responsible research Practices_q2,na_responsible research Practices_q2,responsible research Practices_q3,na_responsible research Practices_q3,responsible research Practices_q4,na_responsible research Practices_q4,responsible research Practices_q5,na_responsible research Practices_q5,responsible research Practices_q6,na_responsible research Practices_q6,responsible research Practices_q7,na_responsible research Practices_q7,responsible research Practices_q8,na_responsible research Practices_q8,responsible research Practices_q9,na_responsible research Practices_q9,responsible research Practices_q10,na_responsible research Practices_q10,responsible research Practices_q11,na_responsible research Practices_q11,responsible research Practices_q12,na_responsible research Practices_q12,responsible research Practices_q13,na_responsible research Practices_q13,responsible research Practices_q14,na_responsible research Practices_q14,responsible research Practices_q15,na_responsible research Practices_q15,responsible research Practices_q16,na_responsible research Practices_q16,responsible research Practices_q17,na_responsible research Practices_q17,responsible research Practices_q18,na_responsible research Practices_q18,responsible research Practices_q19,na_responsible research Practices_q19,responsible research Practices_q20,na_responsible research Practices_q20,fair research practices_q1,na_fair research practices_q1,fair research practices_q2,na_fair research practices_q2,fair research practices_q3,na_fair research practices_q3,fair research practices_q4,na_fair research practices_q4,fair research practices_q5,na_fair research practices_q5,fair research practices_q6,na_fair research practices_q6,fair research practices_q7,na_fair research practices_q7,fair research practices_q8,na_fair research practices_q8,fair research practices_q9,na_fair research practices_q9,fair research practices_q10,na_fair research practices_q10,fair research practices_q11,na_fair research practices_q11,fair research practices_q12,na_fair research practices_q12,fair research practices_q13,na_fair research practices_q13,fair research practices_q14,na_fair research practices_q14,fair research practices_q15,na_fair research practices_q15,fair research practices_q16,na_fair research practices_q16,fair research practices_q17,na_fair research practices_q17,fair research practices_q18,na_fair research practices_q18,fair research practices_q19,na_fair research practices_q19,fair research practices_q20,na_fair research practices_q20,Which country are you from?,other_Which country are you from?,What discipline of global health based describes you:,other_What discipline of global health based describes you:,What is you gender?,other_gender,How many years of involvement in research do you have?,What is your highest academic rank?,other_What is your highest academic rank?,How best do you describe your current role?,other_How best do you describe your current role?,May we contact you for a follow-up interview?,You may leave your email address here:
Researcher from the Global South,,Never,,Always,,Never,,Never,,Never,,Always,,Never,,Never,,Very Rarely,,Never,,Never,,Very Frequently,,Always,,Always,,Never,,Occasionally,,Rarely,,Never,,Never,,Always,,Never,,Frequently,,Always,,Always,,Always,,Always,,Always,,Always,,Always,,Never,,N/A,Cultural aspect on data collection depends on data types,Never,,Never,,N/A,"Not applicable to research I implemented, because not clinical. Therefore, It would be feasible to communicate results to affected populations.",Occasionally,,Occasionally,,Never,,Always,,Always,,Always,,Sub-Saharan Africa,Centre Suisse de Recherches Scientifiques en Côte d'Ivoire (CSRS),Other (please specify),Environmental microbiology,Male,,Mid-career (3-10 years post-education),PhD degree,,Research manager   (I manage one or more research projects),,No,
Other (please specify),Research Development Officer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Researcher from the Global South,,Never,,Always,,Never,,Never,,Never,,Frequently,,Never,,Never,,Frequently,,Never,,Never,,Always,,Very Frequently,,Always,,Never,,Frequently,,Frequently,,Never,,Never,,Always,,Never,,Never,,Very Frequently,,Always,,Always,,Always,,Always,,Always,,Always,,Never,,Always,,Never,,Never,,Frequently,,Occasionally,,Occasionally,,Occasionally,,Always,,Always,,Always,,Sub-Saharan Africa,University of Zambia,Biology/Medicine,,Male,,Mid-career (3-10 years post-education),Bachelor or Master degree,,Researcher,,Yes,
Researcher from the Global South,,Very Rarely,,Always,,Never,,Very Rarely,,Never,,Always,,Very Rarely,,Very Rarely,,Very Frequently,,Very Rarely,,Never,,Very Frequently,,Very Frequently,,Very Frequently,,Very Rarely,,Very Frequently,,Very Frequently,,Rarely,,Rarely,,Very Frequently,,Never,,Very Rarely,,Frequently,,Always,,Always,,Always,,Always,,Always,,Very Frequently,,Very Rarely,,Always,,Never,,Never,,Very Frequently,,Very Frequently,,Very Frequently,,Very Rarely,,Always,,Always,,Frequently,,Sub-Saharan Africa,University of Ibadan (UI).,Other (please specify),Environmental Health ,Male,,Established (>10 years post-education),Associate Professor or Full Professor,,Leadership position (I have management responsibilities beyond/independently of individual research projects and I am responsible for the strategic development of the unit/department/institute that I manage),,Yes,
Researcher from the Global South,,Always,,Always,,Always,,Very Frequently,,Always,,Always,,Very Rarely,,Very Rarely,,Always,,Occasionally,,Never,,Always,,Always,,Always,,Very Rarely,,Always,,Always,,Very Rarely,,Very Rarely,,Frequently,,Very Rarely,,Very Rarely,,Frequently,,Always,,Always,,Always,,Always,,Always,,Always,,Never,,Always,,Never,,Very Rarely,,Occasionally,,Always,,Always,,Always,,Always,,Always,,Always,,Sub-Saharan Africa,makerere university,Other (please specify),public health,Female,,Established (>10 years post-education),PhD degree,,Researcher,,No,
Researcher from the Global South,,Never,,N/A,No corrections were requested,Never,,Never,,Very Rarely,,Always,,Never,,Very Rarely,,N/A,,Rarely,,Never,,Always,,Always,,Always,,N/A,,Very Frequently,,N/A,,Very Rarely,,Very Rarely,,Very Frequently,,Never,,Never,,Always,,Always,,Frequently,,Very Frequently,,Occasionally,,Always,,Always,,Very Rarely,,Very Frequently,,Very Rarely,,Very Rarely,,Occasionally,,Occasionally,,Occasionally,,Never,,Occasionally,,Rarely,,Rarely,,Sub-Saharan Africa,,Sociology/Anthropology,,Female,,Established (>10 years post-education),Associate Professor or Full Professor,,Leadership position (I have management responsibilities beyond/independently of individual research projects and I am responsible for the strategic development of the unit/department/institute that I manage),,No,
Researcher from the Global South,,Never,,Very Frequently,,Never,,Very Rarely,,Never,,Occasionally,,Never,,Never,,Always,,Frequently,,Never,,Frequently,,Always,,Always,,Rarely,,Very Rarely,,Rarely,,Very Rarely,,Always,,Always,,Occasionally,,Occasionally,,Always,,Always,,Occasionally,,Very Frequently,,Always,,Very Rarely,,Very Rarely,,Always,,Occasionally,,Never,,Never,,Very Rarely,,Very Rarely,,Very Rarely,,Frequently,,Always,,Always,,Very Frequently,,Sub-Saharan Africa,IHVN,Biostatistics/Epidemiology,,Male,,Mid-career (3-10 years post-education),Bachelor or Master degree,,Researcher,,Yes,
Researcher from the Global South,,Never,,Always,,Never,,Never,,Never,,Very Frequently,,Never,,Never,,Frequently,,Always,,Never,,Always,,Very Frequently,,Always,,Very Rarely,,Always,,N/A,,Never,,Never,,Always,,Never,,Never,,Always,,Always,,Very Frequently,,Always,,Always,,Always,,Always,,Never,,Always,,Never,,Never,,Always,,Very Frequently,,Very Frequently,,Very Frequently,,Always,,Always,,Always,,Sub-Saharan Africa,South African Medical Research Council (SAMRC),Other (please specify),Social sciences & public health,Male,,Established (>10 years post-education),Associate Professor or Full Professor,,Researcher,,No,
Researcher from the Global South,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Researcher from the Global South,,Never,,N/A,never happen,Never,,Never,,Never,,Always,,Never,,Never,,Always,,Never,,Never,,Always,,Very Frequently,,Always,,Never,,Always,,Always,,Never,,Never,,Always,,Never,,Never,,Always,,Always,,Always,,Always,,Always,,Always,,Always,,Never,,Very Frequently,,Never,,Never,,Always,,Always,,Always,,Always,,Always,,Always,,Always,,South Asia,,Biostatistics/Epidemiology,,Male,,Established (>10 years post-education),Associate Professor or Full Professor,,Other (please specify),Educator and Researcher,No,
Researcher from the Global South,,Never,,Always,,Never,,Never,,Never,,Very Frequently,,Never,,Never,,Very Frequently,,Very Rarely,,Never,,Always,,Always,,Always,,Never,,N/A,,N/A,,Never,,Never,,Always,,Never,,Never,,Always,,Always,,Always,,Very Frequently,,Very Frequently,,Always,,Always,,Never,,Very Frequently,,Never,,Never,,Always,,Always,,Always,,Always,,Always,,Always,,Very Frequently,,Sub-Saharan Africa,,Political sciences/Health economics,,Male,,Established (>10 years post-education),Associate Professor or Full Professor,,Leadership position (I have management responsibilities beyond/independently of individual research projects and I am responsible for the strategic development of the unit/department/institute that I manage),,No,
Researcher from the Global South,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Researcher from the Global South,,Never,,Always,,Always,,Always,,Always,,Always,,Never,,Never,,N/A,,Never,,Never,,Frequently,,Frequently,,Always,,N/A,,Always,,N/A,,Never,,Very Rarely,,Always,,Never,,Never,,Always,,Always,,Always,,Always,,Always,,Always,,N/A,,Always,,Always,,Never,,Never,,Always,,N/A,,Always,,Always,,Frequently,,Very Frequently,,N/A,,Sub-Saharan Africa,Wits School of Public Health,Biostatistics/Epidemiology,,Female,,Established (>10 years post-education),PhD degree,,Research manager   (I manage one or more research projects),,No,
Researcher from the Global South,,Always,,Always,,Very Rarely,,Very Rarely,,Very Rarely,,Frequently,,Never,,Occasionally,,Rarely,,Rarely,,Very Rarely,,Always,,Always,,Always,,Never,,Very Rarely,,Very Rarely,,Frequently,,Very Rarely,,Always,,Very Rarely,,Very Rarely,,Always,,Always,,Always,,Very Frequently,,Very Frequently,,Always,,Very Rarely,,Never,,Always,,Never,,Never,,Frequently,,Occasionally,,Rarely,,Frequently,,Very Frequently,,Very Frequently,,Very Frequently,,South Asia,Research Centre,Biostatistics/Epidemiology,,Male,,Mid-career (3-10 years post-education),Bachelor or Master degree,,Leadership position (I have management responsibilities beyond/independently of individual research projects and I am responsible for the strategic development of the unit/department/institute that I manage),,No,
Researcher from the Global South,,Never,,N/A,"Errors were not identified. However, I would definitely correct errors that were pointed out.",Never,,Never,,Never,,Always,,Never,,Very Rarely,,Never,I've only ever pre-registered my systematic review protocol. I'm unfamiliar with this process for other studies.,Very Rarely,,Very Rarely,I try to follow guidelines like COREQ to guide content.,Always,,Always,,Always,,N/A,I did not have such findings.,Very Frequently,As allowed by approved ethics protocols,N/A,My recent first-author publications have been qualitative,Never,,Never,,Always,,Very Rarely,COVID-19 made some kinds of community consultation difficult at a certain stage,Very Rarely,"Some end users, such as policy makers, are difficult to access",N/A,I am a local researcher,Always,,Always,,Always,,Always,,Always,,Always,,Never,,Always,,Never,,Never,,Occasionally,,Occasionally,,Always,,Occasionally,,Very Frequently,,Always,,Never,,Sub-Saharan Africa,University of the Witwatersrand,Other (please specify),Public Health/Behavioral Sciences,Female,,Mid-career (3-10 years post-education),PhD degree,,Other (please specify),Academic with research interests,No,
Researcher from the Global South,,Very Frequently,,Very Rarely,,Never,,Never,,Never,,Always,,Very Rarely,,Occasionally,,Prefer not to respond,,Prefer not to respond,,Rarely,,Always,,Occasionally,,Prefer not to respond,,Prefer not to respond,,Frequently,,Very Frequently,,Prefer not to respond,,Prefer not to respond,,Prefer not to respond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Researcher from the Global South,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Researcher from the Global North,,Never,,Always,,Very Rarely,,Very Rarely,,Never,,Always,,Very Rarely,,Very Rarely,,N/A,,Never,,Never,,Always,,Always,,Always,,Never,,N/A,,N/A,,N/A,,Very Rarely,,Always,,Very Rarely,,Very Rarely,,Very Frequently,,Always,,Always,,Frequently,,Occasionally,,Very Frequently,,Very Frequently,,Never,,Very Frequently,,Never,,Very Rarely,,Occasionally,,Occasionally,,Occasionally,,Never,,Always,,Very Frequently,,Frequently,,Europe and Central Asia,Swiss TPH,Biostatistics/Epidemiology,,Female,,Mid-career (3-10 years post-education),Postdoc or Assistant Professor,,Researcher,,No,
Researcher from the Global South,,Never,,N/A,has not happened yet,Never,,Never,,Never,,Frequently,,Never,,Never,,Always,,Never,,Never,,Always,,Always,,Always,,N/A,has not happened yet,Frequently,,Frequently,,Never,,Never,,Always,,Never,,Never,,Occasionally,,Always,,Always,,Always,,Always,,Always,,Always,,Frequently,almost all studies are locally executed,Always,,Never,,Never,,Frequently,,Occasionally,,Frequently,,Frequently,,Always,,Always,subject to their contributions as defined by ICMJE,Occasionally,,East Asia and Pacific,University of the Philippines Manila,Biology/Medicine,,Male,,Established (>10 years post-education),Other (please specify),"Professor, MD, MHPEd, MBA",Other (please specify),"Vice Chancellor, Professor, Scientist I",Yes,
Researcher from the Global North,,Never,,Always,,Never,,Never,,Very Rarely,,Very Frequently,,Never,,Never,,Always,,Occasionally,,Never,,Frequently,,Always,,Always,,Never,,Occasionally,I do systematic reviews and we haven't got this organized yet,Occasionally,,Never,,Never,,Very Frequently,,Frequently,My research is evidence synthesis,Rarely,Protocols for systematic reviews. No primary research,Very Frequently,I think the term local is derogatory,Very Frequently,,Very Frequently,"Not sure what ""culturally appropriate"" means. ",Very Frequently,,Very Frequently,,N/A,systematic reviews,N/A,systematic reviews,Very Rarely,I support people in LMICS to do systematic reviews. So they lead often,N/A,,N/A,,N/A,,Frequently,,Rarely,,Frequently,,Frequently,,Very Frequently,,Always,,N/A,don't like local. We deal with international researchers,Europe and Central Asia,LSTM,Biostatistics/Epidemiology,,Male,,Established (>10 years post-education),Associate Professor or Full Professor,,Leadership position (I have management responsibilities beyond/independently of individual research projects and I am responsible for the strategic development of the unit/department/institute that I manage),,Yes,
Researcher from the Global South,,N/A,,N/A,,Very Rarely,,Very Rarely,,Rarely,,N/A,,Never,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,I am working in clinical trial and not published any article so above most of question are NA to me,N/A,implemented Clinical trial study,N/A,,N/A,,N/A,Protocol prepared by sponsor,N/A,instruments are not locally adapted,Always,,Always,,Always,,Always,,Rarely,,Always,,Never,,Never,,Very Rarely,,Very Rarely,,Very Rarely,,Frequently,,Frequently,,Always,,Frequently,,South Asia,KEMHRC Pune Maharashtra India,Other (please specify),Clinical Trial ,Male,,Established (>10 years post-education),Bachelor or Master degree,,Leadership position (I have management responsibilities beyond/independently of individual research projects and I am responsible for the strategic development of the unit/department/institute that I manage),,Yes,
Researcher from the Global South,,Never,,N/A,,N/A,,N/A,,Never,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,Always,,N/A,,N/A,,N/A,,Always,,N/A,,N/A,,Always,,Never,,Never,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,South Asia,"KEMHRC,VRHP",Biostatistics/Epidemiology,,Male,,Mid-career (3-10 years post-education),Bachelor or Master degree,,Researcher,,No,
Researcher from the Global North,,Never,,Rarely,,Never,,Never,,Occasionally,,Occasionally,,Very Rarely,,Never,,Rarely,,Rarely,,Never,,Always,,Occasionally,,Always,,Very Rarely,,Very Frequently,,Very Frequently,,Never,,Never,,Always,,Frequently,,Very Rarely,,Rarely,,Occasionally,,Occasionally,,Very Frequently,,Frequently,,Always,,N/A,Have not conducted international research in the past 3 years,Very Rarely,,Rarely,,Never,,Very Rarely,,Rarely,,Rarely,,Occasionally,,Occasionally,,Always,,Always,,Frequently,,North America,,Biostatistics/Epidemiology,,Male,,Established (>10 years post-education),Associate Professor or Full Professor,,Researcher,,No,
Researcher from the Global North,,Always,,Always,,Never,,Very Rarely,,Rarely,,N/A,,Never,,Never,,N/A,,Very Rarely,,Never,,Always,,Always,,Always,,N/A,,Always,,N/A,,Never,,Never,,Always,,N/A,,N/A,,N/A,,N/A,,N/A,,Always,,Always,,Always,,N/A,,N/A,,N/A,,Never,,Never,,N/A,,N/A,,N/A,,N/A,,Always,,Always,,N/A,,Europe and Central Asia,Ihmt,Biology/Medicine,,Female,,Established (>10 years post-education),Postdoc or Assistant Professor,,Researcher,,No,
Researcher from the Global North,,Never,For me is rotina to provide this kind of information,Frequently,,Very Rarely,,Never,,Frequently,Time is not elastic,Very Frequently,,Rarely,,Very Rarely,,Very Frequently,,Rarely,,Very Rarely,,Always,,Frequently,,Always,,Occasionally,,Frequently,,N/A,Not applicable,Occasionally,,Occasionally,,Always,,Frequently,,Frequently,,Very Frequently,,Very Frequently,,Very Frequently,,Frequently,,Frequently,,Always,,Always,,Never,,Very Frequently,,Very Rarely,,Very Rarely,,Frequently,,Frequently,,Occasionally,,Frequently,,Frequently,,Frequently,,Occasionally,,Europe and Central Asia,IHMT,Biology/Medicine,,Male,,Established (>10 years post-education),Postdoc or Assistant Professor,,Researcher,,No,
Researcher from the Global North,,Never,,N/A,I was not informed of such post production errors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Researcher from the Global North,,Never,,Always,,Very Rarely,,Rarely,,Rarely,,Always,,Never,,Never,,Occasionally,,Occasionally,,Never,,Always,,Always,,Always,,Very Rarely,,Frequently,,N/A,Largely publish qualitative data,Very Rarely,,Very Rarely,,Always,,Never,,Rarely,,Very Frequently,,Always,,Always,,Always,,Frequently,,Always,,Always,,Never,,Very Frequently,,Never,,Never,,Frequently,,Occasionally,,Frequently,,Frequently,,Always,,Very Frequently,,Rarely,,Europe and Central Asia,Liverpool School of Tropical Medicine,Sociology/Anthropology,,Female,,Established (>10 years post-education),Associate Professor or Full Professor,,Leadership position (I have management responsibilities beyond/independently of individual research projects and I am responsible for the strategic development of the unit/department/institute that I manage),,Yes,
Prefer not to disclose,,Frequently,,Very Frequently,,Never,,Rarely,,Occasionally,,Very Frequently,,Very Rarely,,Very Rarely,,Frequently,,Very Rarely,,Very Rarely,,Very Frequently,,Frequently,,Occasionally,,Very Rarely,,Occasionally,,Rarely,,Rarely,,Very Rarely,,Very Frequently,,Rarely,,Rarely,,Very Frequently,,Always,,Always,,Always,,Very Frequently,,Always,,Always,,Very Rarely,,Very Frequently,,Never,,Never,,Rarely,,Always,,Very Frequently,,Very Frequently,,Always,,Occasionally,,Frequently,,East Asia and Pacific,Hanoi University of Public Health,Biostatistics/Epidemiology,,Male,,Established (>10 years post-education),Bachelor or Master degree,,Researcher,,No,
Researcher from the Global South,,N/A,I am a research administrator,N/A,I did not publish any work.,N/A,I did not undertake any research work,N/A,I did not undertake any research work or studies.,Never,,N/A,I did not undertake any research work or study.,N/A,I did not undertake any research work.,N/A,I did not undertake any research work.,N/A,I did not undertake any research work.,N/A,I did not undertake any research work.,N/A,I did not undertake any research work.,N/A,I did not undertake any research work.,N/A,I did not undertake any research work or study.,N/A,I did not publish any research work or study.,N/A,I did not publish any research work or study.,N/A,I did not undertake any research work or study.,N/A,I did not undertake any research work or study.,N/A,I did not publish any research work or study.,N/A,I did not publish any research work or study.,N/A,I did not undertake any research work or study.,N/A,I did not undertake any research work or study.,N/A,I did not undertake any research work or study.,N/A,I did not undertake any research work or study.,N/A,I did not undertake any research work or study.,N/A,I did not undertake any research work or study.,N/A,I did not undertake any research work or study.,N/A,I did not undertake any research work or study.,N/A,I did not undertake any research work or study.,N/A,I did not undertake any research work or study.,N/A,I did not undertake any research work or study.,N/A,I did not undertake any research work or study.,N/A,I did not undertake any research work or study.,N/A,I did not undertake any research work or study.,N/A,I did not undertake any research work or study.,N/A,I did not undertake any research work or study.,N/A,I did not undertake any research work or study.,N/A,I did not undertake any research work or study.,N/A,"I did not undertake any research work, study or publication.",N/A,I did not undertake any research work or study.,N/A,I did not undertake any research work or study.,Sub-Saharan Africa,University of Ghana,Other (please specify),I am a research administrator.,Female,,,Bachelor or Master degree,,Research manager   (I manage one or more research projects),,No,
Researcher from the Global North,,Never,,N/A,no need for published corrections ,Very Rarely,,Rarely,,Very Rarely,,Very Frequently,,Rarely,,Very Rarely,,Occasionally,,Occasionally,,Never,,Always,,Occasionally,,Always,,N/A,no negative studies,Rarely,,Never,,Rarely,,Rarely,,Very Frequently,,Occasionally,,Occasionally,,Frequently,,Very Frequently,,Very Frequently,,Very Frequently,,Occasionally,,Always,,Always,,Rarely,,Frequently,,Never,,Occasionally,,Frequently,,Occasionally,,Occasionally,,Occasionally,,Very Frequently,,Very Frequently,,N/A,thus far don't share research data,North America,,Biostatistics/Epidemiology,,Female,,Early Career (< 3 years post-education),Postdoc or Assistant Professor,,Researcher,,No,
Researcher from the Global North,,Very Rarely,,Always,,Very Rarely,,Very Rarely,,Occasionally,,Very Frequently,,Never,,Never,,Always,,Very Rarely,,Never,,Always,,Frequently,,Very Frequently,,Occasionally,,Always,,N/A,,Never,,Very Rarely,,Always,,Rarely,,Never,,Very Frequently,,Always,,Always,,Very Frequently,,Frequently,,Always,,Always,,Never,,Always,,Never,,Occasionally,,Frequently,,Occasionally,,Occasionally,,Occasionally,,Frequently,,Frequently,,Occasionally,,Europe and Central Asia,Borstel,Biology/Medicine,,Female,,Established (>10 years post-education),Postdoc or Assistant Professor,,Research manager   (I manage one or more research projects),,No,
Researcher from the Global North,,Never,,Frequently,,Occasionally,,Rarely,,Occasionally,,Frequently,,Occasionally,,Rarely,,Occasionally,,Very Frequently,,Occasionally,,Frequently,,Occasionally,,Always,,N/A,,Occasionally,,Frequently,,Occasionally,,Rarely,,Occasionally,,Always,,Frequently,,Occasionally,,Frequently,,Very Frequently,,Frequently,,Rarely,,Very Frequently,,Frequently,,Occasionally,,N/A,,Never,,Occasionally,,Very Rarely,,Occasionally,,Occasionally,,Very Rarely,,Very Frequently,,Frequently,,Never,,North America,Harvard University,Political sciences/Health economics,,Male,,Mid-career (3-10 years post-education),Associate Professor or Full Professor,,Research manager   (I manage one or more research projects),,No,
Researcher from the Global North,,Very Rarely,,N/A,Have in the past but have not needed to in past 3 yrs,Rarely,,Very Rarely,,Never,,Frequently,,Very Rarely,,Occasionally,,Never,,Occasionally,,Very Rarely,,Always,,Always,,Always,,Never,,Occasionally,,N/A,"The statistician on our collaborative project did this, not me",Very Rarely,,Occasionally,,Frequently,,Rarely,,Occasionally,,Frequently,,Very Frequently,,Rarely,,Frequently,,Frequently,,Always,,Always,,Rarely,,Occasionally,,Rarely,,Rarely,,Occasionally,,Occasionally,,Occasionally,,Occasionally,,Always,,Frequently,,Frequently,,Europe and Central Asia,University of Dundee,Other (please specify),Applied Health Research/Health Services Research & Health Technology Assessment,Male,,Established (>10 years post-education),Associate Professor or Full Professor,,Leadership position (I have management responsibilities beyond/independently of individual research projects and I am responsible for the strategic development of the unit/department/institute that I manage),,No,
Prefer not to disclose,,Never,NA,Very Frequently,,Very Rarely,,Very Rarely,,Never,,Always,,Never,,Never,,Never,NA,Never,NA,Very Rarely,,Always,,Very Frequently,,Very Frequently,,Never,,Frequently,,Never,NA,Rarely,,Very Rarely,,Very Frequently,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Researcher from the Global North,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Researcher from the Global South,,Never,,Always,,N/A,I was not actively involved in any data collection,Rarely,,Very Rarely,,Always,,Never,,Never,,Always,,Never,,Never,,Always,,Always,,Always,,N/A,,Always,,Always,,Never,,Never,,Always,,Never,,Very Rarely,,Always,,Always,,Very Frequently,,Always,,Always,,Always,,Always,,Never,,N/A,no data collection undertaken during period,Never,,Never,,Always,,Very Frequently,,Very Frequently,,Very Frequently,,Always,,Always,,Very Frequently,,North America,,Other (please specify),policy,Male,,Mid-career (3-10 years post-education),PhD degree,,Leadership position (I have management responsibilities beyond/independently of individual research projects and I am responsible for the strategic development of the unit/department/institute that I manage),,No,
Researcher from the Global North,,Never,,N/A,,Never,,Never,,Never,,N/A,,Never,,Never,,Always,,Never,,Never,,Always,,Occasionally,,Always,,N/A,,Occasionally,,Occasionally,,Rarely,,Rarely,,Always,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Researcher from the Global North,,Very Frequently,Data confidentiality,Always,,Never,,Always,,Very Frequently,,Very Frequently,,Never,,Never,,N/A,,Very Rarely,,Never,,Always,,Rarely,,Always,,N/A,,N/A,,N/A,,Always,,Always,,Always,,Very Frequently,,Occasionally,,Rarely,,Frequently,,Frequently,,Very Frequently,,Very Frequently,,Frequently,,Very Frequently,,Frequently,,Frequently,,Very Rarely,,Never,,N/A,,Rarely,,N/A,,Frequently,,Always,,Always,,N/A,,Europe and Central Asia,,Biostatistics/Epidemiology,,Male,,Established (>10 years post-education),PhD degree,,Researcher,,No,
Researcher from the Global North,,Never,,Always,,Very Rarely,,Very Rarely,,Occasionally,,Very Frequently,,Occasionally,,Very Rarely,,Never,,Frequently,,Very Rarely,,Frequently,,Always,,Very Frequently,,Never,,Occasionally,,Occasionally,,Frequently,,Frequently,,Very Frequently,,Occasionally,,Occasionally,,Always,,Always,,Always,,Very Frequently,,Frequently,,Frequently,Usually the lead consortium partner and the national research team got ethical approval from their research ethics boards,Always,,Very Rarely,,Frequently,,Very Rarely,,Never,,Rarely,,Rarely,,Frequently,,Occasionally,,Frequently,,Frequently,,N/A,The research was done mainly using qualitative data and this was not made available for reasons of confidentiality,Europe and Central Asia,Liverpool School of Tropical Medicine,Other (please specify),health management,Male,,Established (>10 years post-education),Bachelor or Master degree,,Leadership position (I have management responsibilities beyond/independently of individual research projects and I am responsible for the strategic development of the unit/department/institute that I manage),,Yes,
Researcher from the Global North,,Never,,N/A,"No errors were detected but when it happened in the past (>3 years), a correction note was published.",Never,,Rarely,"Rarely, but I feel that lack of time is (increasingly) affecting my abilities to judge/update the necessary skills.",Rarely,"Again, lack of time (due to administrative/burocratic tasks) is affecting this activity.",N/A,,N/A,,Never,Not that I am aware of.,N/A,,Never,,Never,,Very Frequently,,Always,,Always,,N/A,,Always,,N/A,,Never,,Never,Not that I am aware of.,Always,,N/A,,Frequently,,Very Frequently,,Always,,Always,,Always,,Always,,Always,,Always,,Never,,N/A,,Never,,Never,,Prefer not to respond,"Not sure about the meaning of ""lay"" dissemination products. Appropriate dissemination initiatives to local, medical and scientific communities were considered. ",Prefer not to respond,"Not sure about the meaning of ""lay"" dissemination products. Appropriate dissemination initiatives to local, medical and scientific communities were considered. ",Prefer not to respond,"Not sure about the meaning of ""lay"" dissemination products. Appropriate dissemination initiatives to local, medical and scientific communities were considered. ",Prefer not to respond,"Not sure about the meaning of ""lay"" dissemination products. Appropriate dissemination initiatives to local, medical and scientific communities were considered. ",Always,,Always,,Always,,Europe and Central Asia,,Other (please specify),Microbiology,Female,,Established (>10 years post-education),Associate Professor or Full Professor,,Research manager   (I manage one or more research projects),,,
Researcher from the Global North,,Never,,Always,,Very Rarely,,Very Rarely,,Rarely,,Frequently,,Never,,Never,,Very Frequently,,Very Rarely,,Never,,Always,,Frequently,,Always,,Never,,Frequently,,Occasionally,,Very Rarely,,Very Rarely,,Always,,Very Rarely,,Rarely,,Always,,Always,,Frequently,,Always,,Very Frequently,,Always,,Always,,Never,,Always,,Never,,Occasionally,,Rarely,,Rarely,,Occasionally,,Rarely,,Always,,Very Frequently,,Very Frequently,,North America,Boston University ,Biology/Medicine,,Male,,Established (>10 years post-education),Associate Professor or Full Professor,,Leadership position (I have management responsibilities beyond/independently of individual research projects and I am responsible for the strategic development of the unit/department/institute that I manage),,,
